fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Josh Emmett,Kevin Vallejos,0,2,3,12,36,55,3,12,43,68,0,1,0,0,0,0,0,0,0,38,2,11,30,49,1,1,4,4,0,0,2,2,3,12,12,21,0,0,10,14,0,0,14,20,http://www.ufcstats.com/fight-details/f594fc5c2bc6237e
Amanda Lemos,Gillian Robertson,0,0,25,37,5,15,27,39,9,20,0,0,1,2,0,0,1,1,100,98,18,29,2,7,6,6,1,2,1,2,2,6,12,23,5,15,1,1,0,0,12,13,0,0,http://www.ufcstats.com/fight-details/3b7b771b9578383d
Andre Fili,Jose Delgado,0,0,19,39,23,46,19,39,26,49,1,1,0,1,0,0,0,0,23,0,15,32,7,26,2,4,7,11,2,3,9,9,19,39,23,46,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/8bee5192baec71d8
Marwan Rahiki,Harry Hardwick,0,0,44,83,40,94,44,83,44,102,0,0,0,0,0,0,0,0,0,36,26,59,23,74,7,12,7,8,11,12,10,12,44,83,40,93,0,0,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/e0acd0cf4930671b
Ion Cutelaba,Oumar Sy,0,0,14,20,5,11,40,49,5,11,1,2,0,1,1,0,0,0,147,18,4,9,1,7,4,5,0,0,6,6,4,4,10,15,5,11,1,1,0,0,3,4,0,0,http://www.ufcstats.com/fight-details/db7694f4513120d5
Charles Johnson,Bruno Silva,0,0,18,34,12,19,18,36,15,22,0,2,0,2,0,0,0,0,0,53,7,18,6,11,7,10,2,4,4,6,4,4,11,26,12,19,7,8,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/fc9168fd102e2e66
Chris Curtis,Myktybek Orolbai,0,0,2,10,16,21,12,20,49,65,0,0,7,8,0,0,0,0,0,242,1,9,13,16,1,1,2,2,0,0,1,3,2,10,3,5,0,0,0,0,0,0,13,16,http://www.ufcstats.com/fight-details/f26c0bdf7689aea2
Vitor Petrino,Steven Asplund,0,1,19,37,20,45,19,38,32,59,0,3,0,0,0,0,0,0,23,12,14,32,14,39,2,2,3,3,3,3,3,3,19,36,17,41,0,1,1,2,0,0,2,2,http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0
Elijah Smith,SuYoung You,0,0,3,6,1,1,5,8,18,24,0,0,4,7,0,0,1,0,79,162,1,4,1,1,1,1,0,0,1,1,0,0,2,5,1,1,1,1,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/f44b4e998b6829f6
Bolaji Oki,Manoel Sousa,0,1,20,26,10,21,42,50,23,35,1,1,0,0,0,1,0,0,171,59,8,14,8,18,9,9,2,2,3,3,0,1,3,7,4,12,12,12,5,5,5,7,1,4,http://www.ufcstats.com/fight-details/c769dd861357af9f
Brad Tavares,Eryk Anders,0,0,18,35,20,41,18,35,33,56,0,0,0,4,0,0,0,0,0,190,7,23,17,34,10,11,3,7,1,1,0,0,6,18,4,14,12,17,16,27,0,0,0,0,http://www.ufcstats.com/fight-details/cff81d681a01ae18
Bia Mesquita,Montse Rendon,0,0,18,27,0,8,31,40,0,8,1,1,0,0,1,0,0,0,106,0,16,25,0,6,1,1,0,1,1,1,0,1,6,6,0,8,0,1,0,0,12,20,0,0,http://www.ufcstats.com/fight-details/8cab057e6549afd0
Luan Lacerda,Hecher Sosa,0,0,19,43,22,50,22,47,33,64,2,3,0,0,0,0,0,0,104,6,9,24,15,37,7,15,2,8,3,4,5,5,13,36,20,44,6,7,2,6,0,0,0,0,http://www.ufcstats.com/fight-details/32d371462c539bee
Piera Rodriguez,Sam Hughes,0,0,40,85,33,43,41,87,37,47,0,3,0,4,0,0,0,0,64,22,18,59,13,23,16,19,9,9,6,7,11,11,29,70,30,40,11,15,3,3,0,0,0,0,http://www.ufcstats.com/fight-details/244285b7fd0ddece
Max Holloway,Charles Oliveira,0,0,8,13,10,14,11,16,19,25,0,0,1,1,0,2,0,0,0,270,5,10,7,11,2,2,0,0,1,1,3,3,8,13,6,8,0,0,1,1,0,0,3,5,http://www.ufcstats.com/fight-details/f030febede41c661
Caio Borralho,Reinier de Ridder,0,0,24,42,19,51,24,42,30,62,0,0,2,5,0,0,0,0,0,86,14,26,9,37,3,8,3,6,7,8,7,8,23,41,19,51,0,0,0,0,1,1,0,0,http://www.ufcstats.com/fight-details/d564db29997e1371
Rob Font,Raul Rosas Jr.,0,0,7,20,5,22,8,21,12,29,0,1,5,6,0,0,0,0,0,131,4,15,2,18,1,3,0,0,2,2,3,4,7,20,5,22,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/bed89a91da9d04c1
Drew Dober,Michael Johnson,0,0,11,29,18,51,11,29,18,51,0,0,0,0,0,0,0,0,0,0,2,14,9,31,5,9,0,11,4,6,9,9,11,29,18,51,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/f02c0adc4ae629c6
Gregory Rodrigues,Brunno Ferreira,1,0,2,6,2,5,2,6,2,5,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,2,0,1,0,0,1,2,2,6,2,5,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/6a4738656c493ee9
Cody Garbrandt,Xiao Long,0,0,10,20,20,31,10,20,20,31,0,2,0,0,0,0,0,0,27,0,6,16,3,10,2,2,2,4,2,2,15,17,7,16,20,31,3,4,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/ecd16d14a138d7fb
Donte Johnson,Cody Brundage,0,0,10,25,5,20,29,44,6,23,0,0,1,2,0,0,0,0,0,201,8,23,4,19,1,1,0,0,1,1,1,1,10,25,5,19,0,0,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/9c8d5dbd8905a715
Ricky Turcios,Alberto Montes,0,0,19,53,26,47,33,67,33,54,0,2,0,0,0,0,0,0,114,9,13,46,16,35,2,3,8,10,4,4,2,2,17,51,20,41,2,2,6,6,0,0,0,0,http://www.ufcstats.com/fight-details/6feb49a6b7e8433c
Cody Durden,Nyamjargal Tumendemberel,0,0,4,8,9,13,21,25,15,19,3,6,1,1,0,1,0,0,111,97,1,5,5,8,0,0,1,1,3,3,3,4,3,6,3,7,1,1,1,1,0,1,5,5,http://www.ufcstats.com/fight-details/f661ef429055f8c1
Sumudaerji,Jesus Aguilar,0,0,16,44,13,35,19,47,16,38,1,1,0,1,0,0,0,0,13,59,10,34,4,19,1,3,4,6,5,7,5,10,16,44,12,34,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/a22fd3735819d858
Rafael Tobias,Diyar Nurgozhay,0,0,10,38,36,57,10,38,36,58,0,0,0,0,0,0,0,0,0,18,5,29,13,30,3,5,14,18,2,4,9,9,9,37,31,51,1,1,4,4,0,0,1,2,http://www.ufcstats.com/fight-details/cc03e698c4b7da52
Luke Fernandez,Rodolfo Bellato,0,1,16,33,30,46,26,43,32,48,0,0,0,0,0,0,0,0,22,11,12,28,24,39,3,4,4,5,1,1,2,2,9,26,9,18,7,7,1,1,0,0,20,27,http://www.ufcstats.com/fight-details/a5abdc461cb1538e
Marlon Vera,David Martinez,0,0,5,39,19,41,13,48,26,51,0,0,1,1,0,0,0,0,0,45,0,30,10,28,2,4,5,7,3,5,4,6,5,39,16,36,0,0,0,0,0,0,3,5,http://www.ufcstats.com/fight-details/36d12b31957e94db
Daniel Zellhuber,King Green,0,0,11,46,41,64,11,46,41,64,0,0,2,2,0,0,0,0,0,4,3,32,10,23,3,7,15,19,5,7,16,22,11,45,36,59,0,1,5,5,0,0,0,0,http://www.ufcstats.com/fight-details/81f3d28d30d17378
Edgar Chairez,Felipe Bunes,0,0,4,9,5,13,6,11,64,81,0,0,0,1,0,0,0,0,0,206,1,6,3,11,1,1,1,1,2,2,1,1,3,8,3,10,0,0,2,3,1,1,0,0,http://www.ufcstats.com/fight-details/7df505d8260ba680
Imanol Rodriguez,Kevin Borjas,0,2,12,22,12,23,21,31,14,25,1,1,0,0,0,0,0,0,208,0,9,17,10,20,1,1,2,3,2,4,0,0,6,14,10,20,0,0,2,3,6,8,0,0,http://www.ufcstats.com/fight-details/15068d7b095ca9bd
Santiago Luna,Angel Pacheco,0,0,26,56,25,74,31,61,26,75,2,2,0,0,0,0,0,0,50,0,15,34,20,68,9,20,3,4,2,2,2,2,16,42,24,72,9,13,1,2,1,1,0,0,http://www.ufcstats.com/fight-details/3b76a00f5d0400eb
Ryan Gandra,Jose Daniel Medina,1,0,14,29,0,3,14,29,0,3,0,0,0,0,0,0,0,0,0,0,14,27,0,2,0,2,0,1,0,0,0,0,13,28,0,3,0,0,0,0,1,1,0,0,http://www.ufcstats.com/fight-details/45ec0c5f19c9adbe
Ailin Perez,Macy Chiasson,0,0,6,7,4,5,10,11,24,41,2,2,0,0,0,0,0,2,79,168,4,5,4,5,0,0,0,0,2,2,0,0,1,1,0,1,1,1,0,0,4,5,4,4,http://www.ufcstats.com/fight-details/c40b934d2666e351
Cristian Quinonez,Kris Moutinho,0,0,23,37,16,39,24,40,16,39,2,3,0,0,0,0,0,0,61,0,20,30,6,27,3,7,3,4,0,0,7,8,23,37,16,39,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/25ab195cefbce1d0
Douglas Silva de Andrade,Javier Reyes,0,1,17,27,46,75,19,29,87,125,0,0,1,2,0,0,0,0,4,117,8,15,42,69,2,4,4,5,7,8,0,1,17,26,9,32,0,1,0,0,0,0,37,43,http://www.ufcstats.com/fight-details/6154ee95d3f4fc32
Regina Tarin,Ernesta Kareckaite,0,0,37,79,33,82,39,81,39,90,0,0,0,0,0,0,0,0,0,21,26,63,26,70,9,12,5,9,2,4,2,3,35,75,29,78,2,4,4,4,0,0,0,0,http://www.ufcstats.com/fight-details/44d58943ac8e47e1
Erik Silva,Francis Marshall,0,0,5,9,3,5,5,9,10,13,0,0,1,2,0,1,0,0,0,102,2,6,0,2,1,1,0,0,2,2,3,3,5,9,3,5,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/581292ffe5b09344
Damian Pinas,Wes Schultz,2,0,15,23,3,13,22,30,5,16,0,0,0,6,0,0,0,0,49,28,9,16,0,6,2,3,2,5,4,4,1,2,8,13,3,12,1,1,0,1,6,9,0,0,http://www.ufcstats.com/fight-details/c6a85b67fdd2ef3d
Sean Strickland,Anthony Hernandez,0,0,32,90,23,48,33,91,23,48,0,0,0,1,0,0,0,0,0,20,24,80,12,37,3,5,5,5,5,5,6,6,32,90,23,48,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/8d740c844353ae0e
Geoff Neal,Uros Medic,0,1,3,10,10,19,3,10,10,19,0,0,0,0,0,0,0,0,0,0,1,6,4,10,1,3,6,9,1,1,0,0,3,10,10,19,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/dd12bf51c5ed7f1e
Dan Ige,Melquizael Costa,0,1,7,11,19,40,12,16,26,48,1,3,1,1,0,0,0,0,91,32,2,5,9,26,2,3,7,9,3,3,3,5,7,11,13,29,0,0,4,5,0,0,2,6,http://www.ufcstats.com/fight-details/dc6f6c8228390ebb
Serghei Spivac,Ante Delija,0,0,20,46,19,58,20,46,19,58,0,0,0,0,0,0,0,0,0,0,20,46,17,55,0,0,2,3,0,0,0,0,20,46,19,58,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/04b7bcc0e8488604
Jacobe Smith,Josiah Harrell,0,0,33,47,7,14,37,51,7,14,2,2,0,2,0,0,0,0,21,1,18,29,1,6,9,10,3,5,6,8,3,3,23,37,7,14,0,0,0,0,10,10,0,0,http://www.ufcstats.com/fight-details/54437b8dba3a6110
Zach Reese,Michel Pereira,0,0,23,51,18,40,26,56,25,47,0,0,1,1,0,0,0,0,0,42,4,29,8,21,8,11,10,19,11,11,0,0,23,50,15,35,0,1,2,4,0,0,1,1,http://www.ufcstats.com/fight-details/372d1dee0db8dbee
Chidi Njokuani,Carlos Leal,0,0,46,70,60,131,46,70,60,131,0,0,0,0,0,0,0,0,0,0,8,23,28,95,19,27,21,25,19,20,11,11,39,62,58,128,7,8,2,3,0,0,0,0,http://www.ufcstats.com/fight-details/202d3277e569ad03
Ode Osbourne,Alibi Idiris,0,0,8,26,12,30,8,27,19,37,0,0,1,6,0,0,0,0,0,120,6,23,8,23,2,3,0,0,0,0,4,7,8,26,12,29,0,0,0,0,0,0,0,1,http://www.ufcstats.com/fight-details/7ffdaa44fc8d111b
Alden Coria,Luis Gurule,0,0,24,51,11,33,26,53,15,37,0,1,0,0,0,0,0,0,9,26,15,35,5,24,3,10,3,5,6,6,3,4,22,49,10,32,2,2,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/ac39c1f00ae31e58
