fighter_a,fighter_b,fighter_a_line,fighter_b_line,event,date
Glover Teixeira,Jamahal Hill,116,-140,UFC 283: Teixeira vs. Hill,2023-01-21
Gilbert Burns,Neil Magny,-530,380,UFC 283: Teixeira vs. Hill,2023-01-21
Jessica Andrade,Lauren Murphy,-500,390,UFC 283: Teixeira vs. Hill,2023-01-21
Johnny Walker,Paul Craig,-190,155,UFC 283: Teixeira vs. Hill,2023-01-21
Ihor Potieria,Mauricio Rua,-205,168,UFC 283: Teixeira vs. Hill,2023-01-21
Brunno Ferreira,Gregory Rodrigues,250,-315,UFC 283: Teixeira vs. Hill,2023-01-21
Melquizael Costa,Thiago Moises,300,-400,UFC 283: Teixeira vs. Hill,2023-01-21
Gabriel Bonfim,Mounir Lazzez,-176,150,UFC 283: Teixeira vs. Hill,2023-01-21
Jailton Almeida,Shamil Abdurakhimov,-1115,700,UFC 283: Teixeira vs. Hill,2023-01-21
Cody Stamann,Luan Luiz Lacerda,-360,275,UFC 283: Teixeira vs. Hill,2023-01-21
Ismael Bonfim,Terrance McKinney,100,-124,UFC 283: Teixeira vs. Hill,2023-01-21
Nicolas Dalby,Warlley Alves,110,-132,UFC 283: Teixeira vs. Hill,2023-01-21
Josiane Nunes,Zarah Fairn,-555,410,UFC 283: Teixeira vs. Hill,2023-01-21
Brad Tavares,Gregory Rodrigues,190,-250,UFC 283: Teixeira vs. Hill,2023-01-21
Daniel Marcos,Saimon Oliveira,120,-142,UFC 283: Teixeira vs. Hill,2023-01-21
Derrick Lewis,Serghei Spivac,235,-298,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Da Un Jung,Devin Clark,-265,205,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Blagoy Ivanov,Marcin Tybura,115,-143,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Choi Doo-Ho,Kyle Nelson,-189,150,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Adam Fugitt,Yusaku Kinoshita,260,-340,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Anshul Jubli,Jeka Saragih,120,-146,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Lee Jeong-Yeong,Yi Zha,-250,200,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Rinya Nakamura,Toshiomi Kazama,-500,350,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Hyun Sung Park,Seung Guk Choi,-205,164,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Ji Yeon Kim,Mandy Bohm,-280,220,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Denis Tiuliulin,Jun Yong Park,180,-225,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Jesus Santos Aguilar,Tatsuro Taira,800,-1404,UFC Fight Night: Lewis vs. Spivac,2023-02-04
Blake Bilder,Shane Young,125,-150,UFC 284: Makhachev vs. Volkanovski,2023-02-11
Elves Brenner,Zubaira Tukhugov,460,-625,UFC 284: Makhachev vs. Volkanovski,2023-02-11
Paulo Costa,Robert Whittaker,225,-275,UFC 284: Makhachev vs. Volkanovski,2023-02-11
Gilbert Burns,Sean Brady,160,-190,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
Jessica Andrade,Natalia Silva,230,-295,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
Kyle Nelson,Steve Garcia,170,-210,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
Ciryl Gane,Jon Jones,145,-170,UFC 285: Jones vs. Gane,2023-03-04
Geoff Neal,Shavkat Rakhmonov,388,-500,UFC 285: Jones vs. Gane,2023-03-04
Jalin Turner,Mateusz Gamrot,169,-212,UFC 285: Jones vs. Gane,2023-03-04
Bo Nickal,Jamie Pickett,-2000,1000,UFC 285: Jones vs. Gane,2023-03-04
Cody Garbrandt,Trevin Jones,-175,145,UFC 285: Jones vs. Gane,2023-03-04
Alexa Grasso,Valentina Shevchenko,562,-900,UFC 285: Jones vs. Gane,2023-03-04
Derek Brunson,Dricus Du Plessis,188,-232,UFC 285: Jones vs. Gane,2023-03-04
Amanda Ribas,Viviane Araujo,-118,59,UFC 285: Jones vs. Gane,2023-03-04
Julian Marquez,Marc-Andre Barriault,130,-162,UFC 285: Jones vs. Gane,2023-03-04
Ian Garry,Kenan Song,-800,538,UFC 285: Jones vs. Gane,2023-03-04
Cameron Saaiman,Leomana Martinez,-265,210,UFC 285: Jones vs. Gane,2023-03-04
Jessica Penne,Tabatha Ricci,240,-300,UFC 285: Jones vs. Gane,2023-03-04
Darmon Blackshear,Farid Basharat,350,-450,UFC 285: Jones vs. Gane,2023-03-04
Esteban Ribovics,Kamuela Kirk,-195,165,UFC 285: Jones vs. Gane,2023-03-04
Esteban Ribovics,Loik Radzhabov,172,-210,UFC 285: Jones vs. Gane,2023-03-04
Merab Dvalishvili,Petr Yan,205,-252,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Alexander Volkov,Alexandr Romanov,124,-155,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Alexander Romanov,Alexander Volkov,-71,76,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Nikita Krylov,Ryan Spann,-166,140,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Jonathan Martinez,Said Nurmagomedov,196,-250,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Guido Cannetti,Mario Bautista,650,-1000,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Austin Lingo,Ricardo Ramos,8,8,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Anton Turkalj,Vitor Petrino,-105,-116,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Karl Williams,Rukasz Brzeski,-250,198,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Josh Fremd,Sedriques Dumas,180,-222,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Davey Grant,Raphael Assuncao,-138,112,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Tony Gravely,Victor Henry,120,-150,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Ariane Lipski,Jj Aldrich,300,-400,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Bruno Gustavo da Silva,Tyson Nam,-188,154,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Carlston Harris,Jared Gooden,-312,242,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11
Kamaru Usman,Leon Edwards,-272,210,UFC 286: Edwards vs. Usman 3,2023-03-18
Daniel Rodriguez,Gunnar Nelson,270,-350,UFC 286: Edwards vs. Usman 3,2023-03-18
Justin Gaethje,Rafael Fiziev,190,-248,UFC 286: Edwards vs. Usman 3,2023-03-18
Bryan Barberena,Gunnar Nelson,300,-400,UFC 286: Edwards vs. Usman 3,2023-03-18
Casey O'Neill,Jennifer Maia,-176,142,UFC 286: Edwards vs. Usman 3,2023-03-18
Marvin Vettori,Roman Dolidze,-250,200,UFC 286: Edwards vs. Usman 3,2023-03-18
Jack Shore,Makwan Amirkhani,-530,395,UFC 286: Edwards vs. Usman 3,2023-03-18
Chris Duncan,Omar Morales,-111,-108,UFC 286: Edwards vs. Usman 3,2023-03-18
Sam Patterson,Yanal Ashmoz,-282,225,UFC 286: Edwards vs. Usman 3,2023-03-18
Jafel Filho,Muhammad Mokaev,582,-875,UFC 286: Edwards vs. Usman 3,2023-03-18
Gabriel Santos.,Lerone Murphy,146,-180,UFC 286: Edwards vs. Usman 3,2023-03-18
Jake Hadley,Malcolm Gordon,-420,310,UFC 286: Edwards vs. Usman 3,2023-03-18
Christian Leroy Duncan,Durko Todorovir,-228,180,UFC 286: Edwards vs. Usman 3,2023-03-18
