event,date,fight_url,fighter_a,fighter_b,winner,method,round,time,weight_class
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f594fc5c2bc6237e,Kevin Vallejos,Josh Emmett,Draw/NC,"KO/TKO

      

        Punches",1,3:33,Featherweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/3b7b771b9578383d,Gillian Robertson,Amanda Lemos,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8bee5192baec71d8,Jose Delgado,Andre Fili,Draw/NC,S-DEC,3,5:00,Featherweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/e0acd0cf4930671b,Marwan Rahiki,Harry Hardwick,Draw/NC,KO/TKO,2,5:00,Featherweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/db7694f4513120d5,Ion Cutelaba,Oumar Sy,Draw/NC,"SUB

      

        Guillotine Choke",1,4:24,Light Heavyweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/fc9168fd102e2e66,Charles Johnson,Bruno Silva,Draw/NC,S-DEC,3,5:00,Flyweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f26c0bdf7689aea2,Myktybek Orolbai,Chris Curtis,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0,Vitor Petrino,Steven Asplund,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/f44b4e998b6829f6,Elijah Smith,SuYoung You,Draw/NC,"SUB

      

        Rear Naked Choke",2,1:04,Bantamweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/c769dd861357af9f,Manoel Sousa,Bolaji Oki,Draw/NC,"KO/TKO

      

        Punch",3,4:12,Lightweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/cff81d681a01ae18,Eryk Anders,Brad Tavares,Draw/NC,U-DEC,3,5:00,Middleweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/8cab057e6549afd0,Bia Mesquita,Montse Rendon,Draw/NC,"SUB

      

        Rear Naked Choke",1,2:07,Women's Bantamweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/32d371462c539bee,Hecher Sosa,Luan Lacerda,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",http://www.ufcstats.com/fight-details/244285b7fd0ddece,Piera Rodriguez,Sam Hughes,Draw/NC,U-DEC,3,5:00,Women's Strawweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f030febede41c661,Charles Oliveira,Max Holloway,Draw/NC,U-DEC,5,5:00,Lightweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/d564db29997e1371,Caio Borralho,Reinier de Ridder,Draw/NC,U-DEC,3,5:00,Middleweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/bed89a91da9d04c1,Raul Rosas Jr.,Rob Font,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f02c0adc4ae629c6,Drew Dober,Michael Johnson,Draw/NC,"KO/TKO

      

        Punch",2,1:53,Lightweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6a4738656c493ee9,Gregory Rodrigues,Brunno Ferreira,Draw/NC,"KO/TKO

      

        Punch",1,1:47,Middleweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/ecd16d14a138d7fb,Cody Garbrandt,Xiao Long,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/9c8d5dbd8905a715,Donte Johnson,Cody Brundage,Draw/NC,S-DEC,3,5:00,Middleweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/6feb49a6b7e8433c,Alberto Montes,Ricky Turcios,Draw/NC,"SUB

      

        Anaconda Choke",2,0:40,Featherweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/f661ef429055f8c1,Nyamjargal Tumendemberel,Cody Durden,Draw/NC,U-DEC,3,5:00,Flyweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a22fd3735819d858,Sumudaerji,Jesus Aguilar,Draw/NC,U-DEC,3,5:00,Flyweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/cc03e698c4b7da52,Diyar Nurgozhay,Rafael Tobias,Draw/NC,U-DEC,3,5:00,Light Heavyweight
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026",http://www.ufcstats.com/fight-details/a5abdc461cb1538e,Rodolfo Bellato,Luke Fernandez,Draw/NC,"KO/TKO

      

        Punches",1,2:42,Light Heavyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/1330b5c21269fe92,Lone'er Kavanagh,Brandon Moreno,Draw/NC,U-DEC,5,5:00,Flyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/36d12b31957e94db,David Martinez,Marlon Vera,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/81f3d28d30d17378,King Green,Daniel Zellhuber,Draw/NC,"KO/TKO

      

        Punches",2,4:55,Lightweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/7df505d8260ba680,Edgar Chairez,Felipe Bunes,Draw/NC,S-DEC,3,5:00,Flyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/15068d7b095ca9bd,Imanol Rodriguez,Kevin Borjas,Draw/NC,"KO/TKO

      

        Punch",2,4:21,Flyweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/3b76a00f5d0400eb,Santiago Luna,Angel Pacheco,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/45ec0c5f19c9adbe,Ryan Gandra,Jose Daniel Medina,Draw/NC,"KO/TKO

      

        Punches",1,0:41,Middleweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c40b934d2666e351,Ailin Perez,Macy Chiasson,Draw/NC,U-DEC,3,5:00,Women's Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/25ab195cefbce1d0,Cristian Quinonez,Kris Moutinho,Draw/NC,U-DEC,3,5:00,Bantamweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/6154ee95d3f4fc32,Javier Reyes,Douglas Silva de Andrade,Draw/NC,"KO/TKO

      

        Punches",1,4:59,Featherweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/44d58943ac8e47e1,Regina Tarin,Ernesta Kareckaite,Draw/NC,U-DEC,3,5:00,Catch Weight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/581292ffe5b09344,Francis Marshall,Erik Silva,Draw/NC,"SUB

      

        Rear Naked Choke",1,2:29,Featherweight
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026",http://www.ufcstats.com/fight-details/c6a85b67fdd2ef3d,Damian Pinas,Wes Schultz,Draw/NC,"KO/TKO

      

        Punch",1,2:30,Middleweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/8d740c844353ae0e,Sean Strickland,Anthony Hernandez,Draw/NC,"KO/TKO

      

        Punches",3,2:23,Middleweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/dd12bf51c5ed7f1e,Uros Medic,Geoff Neal,Draw/NC,"KO/TKO

      

        Punch",1,1:19,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/dc6f6c8228390ebb,Melquizael Costa,Dan Ige,Draw/NC,"KO/TKO

      

        Spinning Back Kick",1,4:56,Featherweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/04b7bcc0e8488604,Serghei Spivac,Ante Delija,Draw/NC,U-DEC,3,5:00,Heavyweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/54437b8dba3a6110,Jacobe Smith,Josiah Harrell,Draw/NC,"KO/TKO

      

        Punches",1,3:01,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/372d1dee0db8dbee,Michel Pereira,Zach Reese,Draw/NC,S-DEC,3,5:00,Middleweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/202d3277e569ad03,Carlos Leal,Chidi Njokuani,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/7ffdaa44fc8d111b,Alibi Idiris,Ode Osbourne,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/ac39c1f00ae31e58,Alden Coria,Luis Gurule,Draw/NC,U-DEC,3,5:00,Flyweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/fd56a469e4589ebc,Joselyne Edwards,Nora Cornolle,Draw/NC,"SUB

      

        Rear Naked Choke",2,2:44,Women's Bantamweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/8f9896e60047007f,Punahele Soriano,Ramiz Brahimaj,Draw/NC,U-DEC,3,5:00,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/508e622130b0a84d,Jean-Paul Lebosnoyani,Phil Rowe,Draw/NC,S-DEC,3,5:00,Welterweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/5b97f47cdd355cbe,Jordan Leavitt,Yadier del Valle,Draw/NC,U-DEC,3,5:00,Featherweight
UFC Fight Night: Strickland vs. Hernandez,"February 21, 2026",http://www.ufcstats.com/fight-details/6e78d874097a3d22,Carli Judice,Juliana Miller,Draw/NC,U-DEC,3,5:00,Women's Flyweight
UFC Fight Night: Bautista vs. Oliveira,"February 07, 2026",http://www.ufcstats.com/fight-details/fb4b1754d510b0d0,Mario Bautista,Vinicius Oliveira,Draw/NC,"SUB

      

        Rear Naked Choke",2,4:46,Bantamweight
